feature,mean,std
roc_50_lag1,0.023546688523962855,0.008313914560094964
slope_50_lag1,0.02255409839223404,0.006577074812024064
roc_10_lag1,0.02159070947663381,0.014465470730219273
slope_10_lag1,0.0213132283287703,0.01692600464147751
roc_20_lag1,0.01973475422453688,0.007204517287011202
sp_slope_20_lag1,0.014453520052313044,0.00531211956187254
vol_20_lag1,0.009566365007541544,0.0033563232520438325
roc_5_lag1,0.00890823267549895,0.006674094917593181
slope_20_lag1,0.008762401566045363,0.00519319415067808
ema10_above_ema50_lag1,0.007403807988471084,0.00405026991548043
vol_10_lag1,0.007318338436249741,0.0036292498358389633
ema20_above_ema50_lag1,0.006412286808214473,0.004169031135297085
vol_50_lag1,0.006263197586727054,0.00458086566452443
q_sin_lag1,0.004487179487179549,0.00293754852240763
changePercent_lag1,0.004259612642846233,0.0030873953161075058
change_lag1,0.0035256410256410743,0.0031890622984186976
keymetrics_marketCap_lag1,0.0017628205128205371,0.0028622710095339743
keymetrics_evToEBITDA_lag1,0.0014423076923077121,0.0026768097898221626
q_1_lag1,0.0012820512820512996,0.0025641025641025997
keymetrics_investedCapital_lag1,0.0012820512820512996,0.0025641025641025997
volume_lag1,0.0011217948717948873,0.0024356865630722558
keymetrics_workingCapital_lag1,0.0011217948717948873,0.0024356865630722553
ATR_14_lag1,0.0011217948717948873,0.0024356865630722553
keymetrics_evToOperatingCashFlow_lag1,0.0011217948717948873,0.0024356865630722553
keymetrics_intangiblesToTotalAssets_lag1,0.0009615384615384748,0.00228891936812274
keymetrics_returnOnTangibleAssets_lag1,0.0009615384615384748,0.00228891936812274
keymetrics_returnOnEquity_lag1,0.0009615384615384748,0.00228891936812274
q_cos_lag1,0.0009615384615384748,0.00228891936812274
ewma_vol_lag1,0.0009615384615384748,0.00228891936812274
close_lag1,0.0009615384615384748,0.00228891936812274
keymetrics_averageReceivables_lag1,0.0009615384615384748,0.00228891936812274
keymetrics_averageInventory_lag1,0.0009615384615384748,0.00228891936812274
keymetrics_capexToOperatingCashFlow_lag1,0.0009615384615384748,0.00228891936812274
r_mkt_lag1,0.0008477550393718253,0.003259544756576457
low_lag1,0.0008012820512820623,0.002119993037712041
ema10_lag1,0.0008012820512820623,0.002119993037712041
ema40_lag1,0.0008012820512820623,0.0021199930377120407
keymetrics_stockBasedCompensationToRevenue_lag1,0.0008012820512820623,0.002119993037712041
changeOverTime_lag1,0.0008012820512820623,0.002119993037712041
keymetrics_capexToDepreciation_lag1,0.0008012820512820623,0.0021199930377120407
keymetrics_grahamNetNet_lag1,0.0008012820512820623,0.002119993037712041
keymetrics_currentRatio_lag1,0.0008012820512820623,0.002119993037712041
keymetrics_freeCashFlowToEquity_lag1,0.0008012820512820623,0.002119993037712041
keymetrics_returnOnInvestedCapital_lag1,0.0008012820512820623,0.002119993037712041
keymetrics_capexToRevenue_lag1,0.0008012820512820623,0.002119993037712041
keymetrics_cashConversionCycle_lag1,0.0006410256410256498,0.0019230769230769496
keymetrics_operatingReturnOnAssets_lag1,0.0006410256410256498,0.0019230769230769494
keymetrics_researchAndDevelopementToRevenue_lag1,0.0006410256410256498,0.0019230769230769494
keymetrics_freeCashFlowYield_lag1,0.0006410256410256498,0.0019230769230769494
keymetrics_enterpriseValue_lag1,0.0006410256410256498,0.0019230769230769494
keymetrics_taxBurden_lag1,0.0006410256410256498,0.0019230769230769496
adjClose_lag1,0.0006410256410256498,0.0019230769230769494
ema50_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_tangibleAssetValue_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_daysOfPayablesOutstanding_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_daysOfInventoryOutstanding_lag1,0.0004807692307692374,0.00168840605013668
ema100_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_grahamNumber_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_returnOnCapitalEmployed_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_interestBurden_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_operatingCycle_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_netCurrentAssetValue_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_daysOfSalesOutstanding_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_evToSales_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_incomeQuality_lag1,0.0004807692307692374,0.00168840605013668
vwap_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_netDebtToEBITDA_lag1,0.0004807692307692374,0.00168840605013668
q_4_lag1,0.0004807692307692374,0.00168840605013668
keymetrics_returnOnAssets_lag1,0.0004807692307692374,0.00168840605013668
ema20_lag1,0.0003205128205128249,0.0013970829947245944
high_lag1,0.0003205128205128249,0.0013970829947245944
open_lag1,0.0003205128205128249,0.0013970829947245944
PVT_lag1,0.0003205128205128249,0.0013970829947245944
quarter_lag1,0.0003205128205128249,0.0013970829947245944
keymetrics_averagePayables_lag1,0.0003205128205128249,0.0013970829947245944
keymetrics_evToFreeCashFlow_lag1,0.0003205128205128249,0.0013970829947245944
unadjustedVolume_lag1,0.0003205128205128249,0.0013970829947245944
keymetrics_freeCashFlowToFirm_lag1,0.0003205128205128249,0.0013970829947245944
sp500_close_lag1,0.00016025641025641245,0.0010008009612818083
TR_lag1,0.00016025641025641245,0.0010008009612818083
q_2_lag1,0.00016025641025641245,0.0010008009612818083
q_3_lag1,0.00016025641025641245,0.0010008009612818085
ADX_14_lag1,0.0,0.0
keymetrics_earningsYield_lag1,0.0,0.0
r_nvda_lag1,-0.00010110863251863166,0.005137251337988602
