feature,mean,std
roc_50,0.023546688523962855,0.008313914560094964
slope_50,0.02255409839223404,0.006577074812024064
roc_10,0.02159070947663381,0.014465470730219273
slope_10,0.0213132283287703,0.01692600464147751
roc_20,0.01973475422453688,0.007204517287011202
sp_slope_20,0.014453520052313044,0.00531211956187254
vol_20,0.009566365007541544,0.0033563232520438325
roc_5,0.00890823267549895,0.006674094917593181
slope_20,0.008762401566045363,0.00519319415067808
ema10_above_ema50,0.007403807988471084,0.00405026991548043
vol_10,0.007318338436249741,0.0036292498358389633
ema20_above_ema50,0.006412286808214473,0.004169031135297085
vol_50,0.006263197586727054,0.00458086566452443
q_sin,0.004487179487179549,0.00293754852240763
changePercent,0.004259612642846233,0.0030873953161075058
change,0.0035256410256410743,0.0031890622984186976
keymetrics_marketCap,0.0017628205128205371,0.0028622710095339743
keymetrics_evToEBITDA,0.0014423076923077121,0.0026768097898221626
keymetrics_investedCapital,0.0012820512820512996,0.0025641025641025997
q_1,0.0012820512820512996,0.0025641025641025997
ATR_14,0.0011217948717948873,0.0024356865630722553
volume,0.0011217948717948873,0.0024356865630722558
keymetrics_workingCapital,0.0011217948717948873,0.0024356865630722553
keymetrics_evToOperatingCashFlow,0.0011217948717948873,0.0024356865630722553
keymetrics_returnOnTangibleAssets,0.0009615384615384748,0.00228891936812274
keymetrics_returnOnEquity,0.0009615384615384748,0.00228891936812274
keymetrics_intangiblesToTotalAssets,0.0009615384615384748,0.00228891936812274
keymetrics_capexToOperatingCashFlow,0.0009615384615384748,0.00228891936812274
q_cos,0.0009615384615384748,0.00228891936812274
close,0.0009615384615384748,0.00228891936812274
ewma_vol,0.0009615384615384748,0.00228891936812274
keymetrics_averageReceivables,0.0009615384615384748,0.00228891936812274
keymetrics_averageInventory,0.0009615384615384748,0.00228891936812274
r_mkt,0.0008477550393718253,0.003259544756576457
ema10,0.0008012820512820623,0.002119993037712041
changeOverTime,0.0008012820512820623,0.002119993037712041
ema40,0.0008012820512820623,0.0021199930377120407
low,0.0008012820512820623,0.002119993037712041
keymetrics_freeCashFlowToEquity,0.0008012820512820623,0.002119993037712041
keymetrics_capexToRevenue,0.0008012820512820623,0.002119993037712041
keymetrics_grahamNetNet,0.0008012820512820623,0.002119993037712041
keymetrics_stockBasedCompensationToRevenue,0.0008012820512820623,0.002119993037712041
keymetrics_returnOnInvestedCapital,0.0008012820512820623,0.002119993037712041
keymetrics_currentRatio,0.0008012820512820623,0.002119993037712041
keymetrics_capexToDepreciation,0.0008012820512820623,0.0021199930377120407
adjClose,0.0006410256410256498,0.0019230769230769494
keymetrics_freeCashFlowYield,0.0006410256410256498,0.0019230769230769494
keymetrics_operatingReturnOnAssets,0.0006410256410256498,0.0019230769230769494
keymetrics_enterpriseValue,0.0006410256410256498,0.0019230769230769494
keymetrics_cashConversionCycle,0.0006410256410256498,0.0019230769230769496
keymetrics_taxBurden,0.0006410256410256498,0.0019230769230769496
keymetrics_researchAndDevelopementToRevenue,0.0006410256410256498,0.0019230769230769494
ema50,0.0004807692307692374,0.00168840605013668
vwap,0.0004807692307692374,0.00168840605013668
keymetrics_returnOnAssets,0.0004807692307692374,0.00168840605013668
keymetrics_tangibleAssetValue,0.0004807692307692374,0.00168840605013668
keymetrics_returnOnCapitalEmployed,0.0004807692307692374,0.00168840605013668
keymetrics_netCurrentAssetValue,0.0004807692307692374,0.00168840605013668
q_4,0.0004807692307692374,0.00168840605013668
ema100,0.0004807692307692374,0.00168840605013668
keymetrics_netDebtToEBITDA,0.0004807692307692374,0.00168840605013668
keymetrics_evToSales,0.0004807692307692374,0.00168840605013668
keymetrics_daysOfSalesOutstanding,0.0004807692307692374,0.00168840605013668
keymetrics_daysOfInventoryOutstanding,0.0004807692307692374,0.00168840605013668
keymetrics_daysOfPayablesOutstanding,0.0004807692307692374,0.00168840605013668
keymetrics_incomeQuality,0.0004807692307692374,0.00168840605013668
keymetrics_grahamNumber,0.0004807692307692374,0.00168840605013668
keymetrics_interestBurden,0.0004807692307692374,0.00168840605013668
keymetrics_operatingCycle,0.0004807692307692374,0.00168840605013668
quarter,0.0003205128205128249,0.0013970829947245944
unadjustedVolume,0.0003205128205128249,0.0013970829947245944
keymetrics_averagePayables,0.0003205128205128249,0.0013970829947245944
high,0.0003205128205128249,0.0013970829947245944
ema20,0.0003205128205128249,0.0013970829947245944
PVT,0.0003205128205128249,0.0013970829947245944
keymetrics_evToFreeCashFlow,0.0003205128205128249,0.0013970829947245944
keymetrics_freeCashFlowToFirm,0.0003205128205128249,0.0013970829947245944
open,0.0003205128205128249,0.0013970829947245944
TR,0.00016025641025641245,0.0010008009612818083
sp500_close,0.00016025641025641245,0.0010008009612818083
q_2,0.00016025641025641245,0.0010008009612818083
q_3,0.00016025641025641245,0.0010008009612818085
ADX_14,0.0,0.0
keymetrics_earningsYield,0.0,0.0
r_nvda,-0.00010110863251863166,0.005137251337988602
