ticker,strategy,trades,win_rate,avg_return,vol_daily,sharpe,max_drawdown,total_return,forward_file
NVDA,Stacking puro,39,0.46153846153846156,-0.000271247942934245,0.018788836205694694,-0.26428086833172976,-0.09717273124302572,-0.02282251642337152,NVDA_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
NVDA,Stacking + ADX,32,0.4375,-0.0019741742886663013,0.017203659066426742,-0.9626799158272231,-0.14872439053400532,-0.07109230598327232,NVDA_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
AAPL,Stacking puro,55,0.4727272727272727,0.00023135563954562025,0.011084050325112425,0.015549308552349008,-0.0683732295515983,0.008405507804441825,AAPL_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
AAPL,Stacking + ADX,56,0.48214285714285715,0.00033661532028371466,0.011106163968465484,0.13712950984069155,-0.06518753748815109,0.014582896846759175,AAPL_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
MSFT,Stacking puro,31,0.5483870967741935,-1.9984088535003473e-05,0.0073742505525607824,-0.3755962553795716,-0.05117420259376104,-0.0025516207073015273,MSFT_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
MSFT,Stacking + ADX,27,0.48148148148148145,-0.0009157814965641604,0.007102619790069732,-1.1382765019695238,-0.05340929063373068,-0.02617856712127342,MSFT_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
AMD,Stacking puro,43,0.5348837209302325,0.007568921672729371,0.038466796354477584,1.7970000094110123,-0.1427623775383745,0.3183635122459949,AMD_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
AMD,Stacking + ADX,26,0.5,0.011173379331676737,0.03729987900122108,1.6465954407949732,-0.11728050978656068,0.27725252132636014,AMD_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
META,Stacking puro,20,0.4,-0.0060229117501132854,0.015206744845329008,-1.919654549633079,-0.1658874760950949,-0.12128287100131552,META_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
META,Stacking + ADX,20,0.4,-0.0060229117501132854,0.015206744845329008,-1.919654549633079,-0.1658874760950949,-0.12128287100131552,META_forward_2025-09-02_to_2025-12-11_ADXdyn.csv
