Date,close,y_true,proba_p1,pred_p1,proba_p2,pred_p2,proba_weighted,pred_weighted,proba_stacking,pred_stacking,ADX_14_lag1,pred_dyn_ADX,no_trade_zone
2025-09-02,229.72,1,0.704225352112676,1,0.9444444444444444,1,0.8247288401374118,1,0.7596179219764373,1,92.78198197795277,1,0
2025-09-03,238.47,1,0.5384615384615384,1,0.4375,1,0.4878151996428236,1,0.40019243691531814,0,92.18452426495891,0,0
2025-09-04,239.78,1,0.96875,1,1.0,1,0.9844262477296022,1,0.9579860157706925,1,91.77581314211211,1,0
2025-09-05,239.69,1,1.0,1,1.0,1,1.0,1,0.966297272588037,1,91.40570550481605,1,0
2025-09-08,237.88,1,1.0,1,1.0,1,1.0,1,0.966297272588037,1,91.08830247070362,1,0
2025-09-09,234.35,0,0.9104532160144079,1,1.0,1,0.955373458227122,1,0.9369980773461019,1,91.71398612854655,1,0
2025-09-10,226.79,0,0.8803418803418803,1,0.9444444444444444,1,0.9124982859410643,1,0.9199389470871046,1,92.33966978638946,1,0
2025-09-11,230.03,1,0.22857142857142856,0,0.07407407407407407,0,0.15106938688603,0,0.05117159197514761,0,92.96535344423239,0,0
2025-09-12,234.07,1,0.22857142857142856,0,0.2631578947368421,0,0.24592138094584545,0,0.05769534312569321,0,93.03144001198018,0,0
2025-09-15,236.7,1,0.704225352112676,1,0.2631578947368421,0,0.48296830483941694,1,0.6667195003634903,0,93.02453274324226,1,0
2025-09-16,238.15,1,0.8803418803418803,1,0.5,1,0.6895472071200548,1,0.8950370734576559,1,92.90287727651268,1,0
2025-09-17,238.99,0,0.967741935483871,1,1.0,1,0.9839238686241055,1,0.9576876048019467,1,92.96098355596261,1,0
2025-09-18,237.88,1,0.7817147658187871,1,0.5268622736927197,1,0.6538705801843955,1,0.8081989037458052,1,93.08415783123782,1,0
2025-09-19,245.5,1,0.5384615384615384,1,0.3333333333333333,0,0.4355610405441494,0,0.3835356287216066,0,93.49433573266188,0,0
2025-09-22,256.08,1,0.967741935483871,1,1.0,1,0.9839238686241055,1,0.9576876048019467,1,93.98317538485593,1,0
2025-09-23,254.43,1,1.0,1,1.0,1,1.0,1,0.966297272588037,1,94.65629418774573,1,0
2025-09-24,252.31,1,1.0,1,1.0,1,1.0,1,0.966297272588037,1,95.04115627882975,1,0
2025-09-25,256.87,1,1.0,1,1.0,1,1.0,1,0.966297272588037,1,95.37512072185268,1,0
2025-09-26,255.46,1,1.0,1,1.0,1,1.0,1,0.966297272588037,1,95.65649067951587,1,0
2025-09-29,254.43,1,1.0,1,1.0,1,1.0,1,0.966297272588037,1,95.3293725898855,1,0
