Date,ret_1d,pred_stacking,signal_adx,ret_stacking,ret_stacking_adx,equity_stacking,equity_stacking_adx
2025-09-02,0.014361185329123005,1,1,0.014361185329123005,0.014361185329123005,1.014361185329123,1.014361185329123
2025-09-03,0.013289832081175623,0,0,0.0,0.0,1.014361185329123,1.014361185329123
2025-09-04,0.036363099282190614,1,0,0.036363099282190614,0.0,1.0512465018192465,1.014361185329123
2025-09-05,-0.012655341466195402,1,0,-0.012655341466195402,-0.0,1.0379426183735805,1.014361185329123
2025-09-08,0.0016454965357968199,1,1,0.0016454965357968199,0.0016454965357968199,1.03965054935647,1.0160303131456287
2025-09-09,0.0023633167132603994,1,1,0.0023633167132603994,0.0023633167132603994,1.0421075728757145,1.0184315145658651
2025-09-10,0.06043877052244162,1,1,0.06043877052244162,0.06043877052244162,1.1050912733324485,1.079984263167534
2025-09-11,0.07356091212277316,1,1,0.07356091212277316,0.07356091212277316,1.1863827953777002,1.159428890644379
2025-09-12,0.03561145628125484,1,1,0.03561145628125484,0.03561145628125484,1.228631614428126,1.200717841894785
2025-09-15,0.028241147205150696,1,1,0.028241147205150696,0.028241147205150696,1.2633295807120926,1.2346274912195865
2025-09-16,0.01005644893506008,1,1,0.01005644893506008,0.01005644893506008,1.2760341901286745,1.2470434595388575
2025-09-17,-0.021157187808199862,1,1,-0.021157187808199862,-0.021157187808199862,1.2490368951184379,1.2206595268604066
2025-09-18,0.022118267962096594,1,1,0.022118267962096594,0.022118267962096594,1.2766634278592126,1.247658401365991
2025-09-19,0.01910484192738271,1,1,0.01910484192738271,0.01910484192738271,1.3010538808429335,1.2714947179034592
2025-09-22,-0.019253356670735244,1,1,-0.019253356670735244,-0.019253356670735244,1.2760042264272202,1.247014176594708
2025-09-23,0.03977926499941287,1,1,0.03977926499941287,0.03977926499941287,1.3267627366906394,1.2966194839834935
2025-09-24,-0.043813094243320805,1,1,-0.043813094243320805,-0.043813094243320805,1.268633155869486,1.2398105723339987
2025-09-25,0.04017572450931772,1,1,0.04017572450931772,0.04017572450931772,1.319601412043085,1.2896208603318289
2025-09-26,0.006380563124432248,1,1,0.006380563124432248,0.006380563124432248,1.3280212121517159,1.2978493676377607
2025-09-29,0.0034069628392863205,1,1,0.0034069628392863205,0.0034069628392863205,1.3325457310713007,1.3022710922042937
2025-09-30,0.03314445044072656,1,1,0.03314445044072656,0.03314445044072656,1.3767122270147951,1.3454341518802497
2025-10-01,-0.051059939929482434,1,1,-0.051059939929482434,-0.051059939929482434,1.3064173834032358,1.27673636490617
2025-10-02,-0.014151376146789074,1,1,-0.014151376146789074,-0.014151376146789074,1.2879297796059925,1.2586687883660987
2025-10-03,0.054486657515762094,1,1,0.054486657515762094,0.054486657515762094,1.358104768411735,1.3272494435635815
2025-10-06,-0.04447876447876453,1,1,-0.04447876447876453,-0.04447876447876453,1.2976979462800624,1.2682150281587456
2025-10-07,0.012930337805075132,1,1,0.012930337805075132,0.012930337805075132,1.3144776190944159,1.2846134768823112
2025-10-08,-0.007180469123982736,1,1,-0.007180469123982736,-0.007180469123982736,1.305039053136342,1.2753893494753057
2025-10-09,-0.0506268081002893,1,0,-0.0506268081002893,-0.0,1.2389690914298253,1.2753893494753057
2025-10-10,0.05419719944859591,1,0,0.05419719944859591,0.0,1.306117746388693,1.2753893494753057
2025-10-13,-0.015278733654507826,0,0,-0.0,-0.0,1.306117746388693,1.2753893494753057
2025-10-14,0.013768521107072829,0,0,0.0,0.0,1.306117746388693,1.2753893494753057
2025-10-15,-0.01470757210157414,0,0,-0.0,-0.0,1.306117746388693,1.2753893494753057
2025-10-16,0.024629737609329405,0,0,0.0,0.0,1.306117746388693,1.2753893494753057
2025-10-17,0.01848353099178257,0,0,0.0,0.0,1.306117746388693,1.2753893494753057
