Date,close,y_true,proba_p1,pred_p1,proba_p2,pred_p2,proba_weighted,pred_weighted,proba_stacking,pred_stacking,ADX_14_lag1,pred_dyn_ADX,no_trade_zone
2025-09-02,505.12,0,0.4634146341463415,1,0.08695652173913043,0,0.27568926898790436,0,0.3346179912342366,0,69.34725534827459,0,0
2025-09-03,505.35,1,0.4634146341463415,1,0.08695652173913043,0,0.27568926898790436,0,0.3346179912342366,0,66.73014509169732,0,0
2025-09-04,507.97,0,0.4634146341463415,1,0.5921923029920801,0,0.5276311674380159,0,0.328642313649398,0,64.56507173307533,0,0
2025-09-05,495.0,0,0.75,1,0.9565217391304348,1,0.852984548914382,1,0.7708256060788679,1,63.39802226586737,1,0
2025-09-08,498.2,0,0.0,0,0.029411764705882353,0,0.014666530185949142,0,0.021201768154870577,0,62.2309727986594,0,0
2025-09-09,498.41,0,0.2857142857142857,0,0.05299677983469416,0,0.1696669026717036,0,0.13094097739424398,0,59.00035629960212,0,0
2025-09-10,500.37,0,0.2857142857142857,0,0.08695652173913043,0,0.18660133638315113,0,0.13073490027786752,0,56.01808285417559,0,0
2025-09-11,501.01,1,0.2857142857142857,0,0.08695652173913043,0,0.18660133638315113,0,0.13073490027786752,0,55.798699937424246,0,0
2025-09-12,509.9,1,0.2857142857142857,0,0.08695652173913043,0,0.18660133638315113,0,0.13073490027786752,0,55.57931702067291,0,0
2025-09-15,515.36,1,0.6666666666666666,1,0.9565217391304348,1,0.8112063844412377,1,0.6563119940886086,1,56.100415525733126,1,0
2025-09-16,509.04,1,0.75,1,0.9565217391304348,1,0.852984548914382,1,0.7708256060788679,1,59.10127898417196,1,0
2025-09-17,510.02,1,0.75,1,0.9565217391304348,1,0.852984548914382,1,0.7708256060788679,1,62.200206599267126,1,0
2025-09-18,508.45,1,0.7717391304347826,1,0.9565217391304348,1,0.8638832005160717,1,0.7958655035705348,1,64.5198657826475,1,0
2025-09-19,517.93,1,0.7717391304347826,1,0.9565217391304348,1,0.8638832005160717,1,0.7958655035705348,1,64.8115418748048,1,0
2025-09-22,514.45,1,0.8392857142857143,1,1.0,1,0.9194278256589363,1,0.8602261772469076,1,65.84649256325802,1,0
