Date,close,y_true,proba_p1,pred_p1,proba_p2,pred_p2,proba_weighted,pred_weighted,proba_stacking,pred_stacking,ADX_14_lag1,pred_dyn_ADX,no_trade_zone
2025-09-02,735.11,0,0.2,0,0.07692307692307693,0,0.14081489639282552,0,0.10988851300917835,0,95.84139442953223,0,0
2025-09-03,737.05,1,0.2,0,0.07692307692307693,0,0.14081489639282552,0,0.10988851300917835,0,94.66943264326252,0,0
2025-09-04,748.65,1,0.2,0,0.07692307692307693,0,0.14081489639282552,0,0.10988851300917835,0,93.5997783798538,0,0
2025-09-05,752.45,0,0.5555555555555556,1,0.8181818181818182,1,0.6818470013839961,1,0.630875228363099,1,92.98574584485978,1,0
2025-09-08,752.3,1,0.8,1,0.8181818181818182,1,0.8087432539419691,1,0.8393967727354152,1,92.24422414392848,1,0
2025-09-09,765.7,0,0.3333333333333333,0,0.8181818181818182,1,0.566486771785839,0,0.38220865561142175,0,91.63168894492709,0,0
2025-09-10,751.98,1,0.875,1,0.8333333333333334,1,0.8549633763829879,1,0.8825891962156992,1,91.01915374592572,1,0
2025-09-11,750.9,1,0.29207875395795313,0,0.25,0,0.2718439662300723,0,0.1920300334995485,0,90.40661854692436,0,0
2025-09-12,755.59,1,0.6666666666666666,1,0.8181818181818182,1,0.7395271161830748,1,0.7396311090221219,1,90.95868552756278,1,0
2025-09-15,764.7,1,0.6666666666666666,1,0.8181818181818182,1,0.7395271161830748,1,0.7396311090221219,1,91.50524685381585,1,0
2025-09-16,779.0,1,0.8,1,0.8333333333333334,1,0.81602929889361,1,0.8421386801579521,1,92.09802673863113,1,0
2025-09-17,775.72,1,0.9583333333333334,1,0.8571428571428571,1,0.9096729616920181,1,0.919118108777767,1,92.69080662344642,1,0
2025-09-18,780.25,1,1.0,1,0.9,1,0.9519121033191708,1,0.9357692380771523,1,93.29987627676745,1,0
2025-09-19,778.38,1,1.0,1,1.0,1,1.0,1,0.9434310143876388,1,93.90894593008845,1,0
2025-09-22,765.16,0,1.0,1,1.0,1,1.0,1,0.9434310143876388,1,94.56522411739213,1,0
2025-09-23,755.4,1,0.8181818181818182,1,0.8181818181818182,1,0.8181818181818182,1,0.850291195148619,1,95.73718590366184,1,0
2025-09-24,760.66,0,0.3333333333333333,0,0.07692307692307693,0,0.2100310341517198,0,0.18509747882424568,0,96.80684016707055,0,0
2025-09-25,748.91,0,0.8181818181818182,1,0.8181818181818182,1,0.8181818181818182,1,0.850291195148619,1,96.9149997246903,1,0
2025-09-26,743.75,0,0.5555555555555556,1,0.14285714285714285,0,0.35709756925372044,0,0.40687441540542524,0,97.15064844824731,0,0
2025-09-29,743.4,0,0.2,0,0.024526896061718432,0,0.11561867507551501,0,0.10314973028766843,0,97.12476482701173,0,0
2025-09-30,734.38,0,0.25,0,0.07692307692307693,0,0.16677094805241088,0,0.1343252741576514,0,97.09888120577612,0,0
2025-10-01,717.34,0,0.2,0,0.0,0,0.10382420663834147,0,0.1001227251881244,0,97.07299758454052,0,0
2025-10-02,727.05,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,96.43457876430354,0,0
2025-10-03,710.56,0,0.2,0,0.0,0,0.10382420663834147,0,0.1001227251881244,0,95.8940982549192,0,0
2025-10-06,715.66,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,94.94990889968416,0,0
2025-10-07,713.08,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,93.54064249041781,0,0
2025-10-08,717.84,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,92.10122614416923,0,0
2025-10-09,733.51,0,0.2,0,0.07692307692307693,0,0.14081489639282552,0,0.10988851300917835,0,90.04633522228332,0,0
2025-10-10,705.3,0,0.2,0,0.1603208154204165,0,0.1809191147155744,0,0.12140980850167778,0,89.17764955559686,0,0
2025-10-13,715.7,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,88.3089638889104,0,0
2025-10-14,708.65,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,85.89292009482685,0,0
2025-10-15,717.55,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,84.65758256930839,0,0
2025-10-16,712.07,0,0.2,0,0.14285714285714285,0,0.17252120189666903,0,0.11891412079583139,0,83.8494888786167,0,0
2025-10-17,716.92,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,83.17394103078766,0,0
2025-10-20,732.17,0,0.2,0,0.17647058823529413,0,0.18868520078098136,0,0.12375777620311525,0,81.69727063916123,0,0
2025-10-21,733.27,0,0.25,0,0.17647058823529413,0,0.21464125244056673,0,0.15075638562625654,0,80.84609167853829,0,0
2025-10-22,733.41,1,0.3333333333333333,0,0.17647058823529413,0,0.2579013385398756,0,0.2062594437768779,0,80.12021589243902,0,0
2025-10-23,734.0,1,0.2,0,0.17647058823529413,0,0.18868520078098136,0,0.12375777620311525,0,79.13586464443347,0,0
2025-10-24,738.36,1,0.2,0,0.1684490230684322,0,0.18482779881135544,0,0.12258670836166734,0,78.60817591612503,0,0
2025-10-27,750.82,1,0.4960956877881173,0,0.17647058823529413,0,0.342394700149158,0,0.35357603776701146,0,78.54556424184793,0,0
2025-10-28,751.44,1,0.6666666666666666,1,0.8181818181818182,1,0.7395271161830748,1,0.7396311090221219,1,78.80548665029997,1,0
2025-10-29,751.67,0,0.8159424007124989,1,0.8181818181818182,1,0.8170192894713977,1,0.8489829761639939,1,79.70747276734241,1,0
2025-10-30,666.47,0,0.875,1,0.8333333333333334,1,0.8549633763829879,1,0.8825891962156992,1,79.11992673861721,1,0
2025-10-31,648.35,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,78.53238070989201,0,0
2025-11-03,637.71,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,80.30261219317838,0,0
2025-11-04,627.32,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,81.39801038527396,0,0
2025-11-05,635.95,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,81.93527802421374,0,0
2025-11-06,618.94,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,82.48167453156972,0,0
2025-11-07,621.71,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,84.59676374343313,0,0
2025-11-10,631.76,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,86.08636152429304,0,0
2025-11-11,627.08,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,87.45065613062926,0,0
2025-11-12,609.01,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,88.43191730877676,0,0
2025-11-13,609.89,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,89.32931489324032,0,0
2025-11-14,609.46,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,90.22671247770388,0,0
2025-11-17,602.01,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,90.34861738798656,0,0
