Date,portfolio_ret,portfolio_equity
2025-09-02,0.029350606938341944,1.029350606938342
2025-09-03,0.0,1.029350606938342
2025-09-04,-0.00028922604212379015,1.0290528919363395
2025-09-05,-0.005818841136866261,1.0230649966367291
2025-09-08,-0.011434695829033602,1.0113665595868568
2025-09-09,-0.024857913855160205,0.9862260967726569
2025-09-10,0.011008520365517827,0.997082986843984
2025-09-11,0.0,0.997082986843984
2025-09-12,0.0,0.997082986843984
2025-09-15,0.004720386778934306,1.0017896041925827
2025-09-16,0.0027179191974976715,1.0045123873896713
2025-09-17,-0.003578912582222736,1.0009173253674437
2025-09-18,0.024683394395817525,1.0256233624670952
2025-09-19,0.0,1.0256233624670952
2025-09-22,-0.004964964231130903,1.0205311791578338
2025-09-23,-0.006420596593104768,1.0139787601457757
2025-09-24,0.013926379318862444,1.0280998129808356
2025-09-25,-0.004229738983247751,1.0237512191232008
2025-09-26,-0.0031068633920445067,1.020570563937946
2025-09-29,0.0006057166597269101,1.02118874053095
2025-09-30,0.002481487679812429,1.023722807809341
2025-10-01,0.005067703714105169,1.0289107316846906
2025-10-02,-0.004172869160965283,1.0246172218230574
2025-10-03,0.05042313400079625,1.076281633298565
2025-10-06,0.008154698004553124,1.0850583849859619
2025-10-07,0.03083538852363135,1.118516581857828
2025-10-08,-0.014604250539253993,1.1021814854640664
2025-10-09,-0.04432476074270808,1.053327554825829
2025-10-10,0.0016228249326164267,1.0550369210440123
2025-10-13,0.001770449638289194,1.0569048107792562
2025-10-14,0.02157716620545131,1.0797098215447813
2025-10-15,-0.003884860466751929,1.0755152995434982
2025-10-16,-0.0014476789561993868,1.0739582986772787
2025-10-17,0.00736310658974145,1.0818659681033769
2025-10-20,-0.0024130237980588085,1.0792553997760335
2025-10-21,-0.020186660355197037,1.0574688375842423
2025-10-22,0.008112683918914896,1.0660477480176656
2025-10-23,0.009617930247691487,1.0763009208988081
2025-10-24,0.023685385997144218,1.101793523659378
2025-10-27,-0.0009220840062934683,1.100777577472974
2025-10-28,0.00762529397407754,1.1091713301012782
2025-10-29,-0.003380201840692633,1.1054221071296264
2025-10-30,-0.0017719799308950391,1.103463321340625
2025-10-31,-0.0005997923748918351,1.102801472454512
2025-11-03,-0.00564758777174921,1.096573304344011
2025-11-04,0.006047670050858146,1.1032050178752626
2025-11-05,-0.01773087228619961,1.0836442305978218
2025-11-06,-0.007728677115155524,1.07526909423183
2025-11-07,0.0027553914803317174,1.0782318815331404
2025-11-10,0.016645041202792234,1.0961790956274238
2025-11-11,-0.004983110476422526,1.0907167140919674
2025-11-12,-0.0014652154653498717,1.0891185790941642
2025-11-13,-0.0015244686656259241,1.087458251947184
2025-11-14,-0.014001997433736375,1.072231664294124
2025-11-17,-5.7620761883678576e-05,1.0721698814887117
2025-11-18,0.0,1.0721698814887117
2025-11-19,0.0,1.0721698814887117
2025-11-20,0.0,1.0721698814887117
2025-11-21,0.0,1.0721698814887117
2025-11-24,0.002932337529374917,1.0753138454700664
2025-11-25,0.0016136268196175797,1.077049000730623
2025-11-26,0.0036091917970563605,1.0809362771490878
2025-11-28,0.011744272572544371,1.0936310874214779
2025-12-01,0.008410589778859116,1.1028291698671875
2025-12-02,-0.0054926705869874515,1.0967716925233861
2025-12-03,-0.009355764377676514,1.086510554992032
2025-12-04,-0.005270680090663919,1.0807839054415393
2025-12-05,-0.002460006382515401,1.0781251701360333
2025-12-08,-0.0019687622388598913,1.0760025980123051
2025-12-09,0.004240956910781674,1.0805658786663646
2025-12-10,-0.002073039086389478,1.0783258233644704
2025-12-11,0.0,1.0783258233644704
