Date,close,y_true,proba_p1,pred_p1,proba_p2,pred_p2,proba_weighted,pred_weighted,proba_stacking,pred_stacking,ADX_14_lag1,pred_dyn_ADX,no_trade_zone
2025-09-02,170.78,0,0.08888888888888889,0,0.14814814814814814,0,0.1182260313197464,0,0.062227704946799293,0,93.90618425128086,0,0
2025-09-03,170.62,0,0.08888888888888889,0,0.0,0,0.044883175242602644,0,0.07220627892482794,0,93.88444409617856,0,0
2025-09-04,171.66,0,0.08888888888888889,0,0.14814814814814814,0,0.1182260313197464,0,0.062227704946799293,0,93.89851832663294,0,0
2025-09-05,167.02,0,0.08888888888888889,0,0.14814814814814814,0,0.1182260313197464,0,0.062227704946799293,0,93.09577361763822,0,0
2025-09-08,168.31,0,0.0625,0,0.0,0,0.03155848259245498,0,0.059917656597261434,0,92.35083314144777,0,0
2025-09-09,170.76,0,0.0625,0,0.14814814814814814,0,0.10490133866959873,0,0.05154296932732595,0,91.7932993048076,0,0
2025-09-10,177.33,0,0.08888888888888889,0,0.14814814814814814,0,0.1182260313197464,0,0.062227704946799293,0,91.25442297097281,0,0
2025-09-11,177.17,0,0.3076923076923077,0,0.14814814814814814,0,0.22870769345538366,0,0.2579252670096415,0,91.44375964388239,0,0
2025-09-12,177.82,1,0.3076923076923077,0,0.14814814814814814,0,0.22870769345538366,0,0.2579252670096415,0,91.57881114863446,0,0
2025-09-15,177.75,1,0.5094339622641508,1,0.14814814814814814,0,0.33057426135904094,0,0.6153888469587673,1,92.03771259752645,1,0
2025-09-16,174.88,0,0.7058823529411765,1,0.8,1,0.7524766379784209,1,0.778215215182425,1,92.06737375210551,1,0
2025-09-17,170.29,1,0.7058823529411765,1,0.8,1,0.7524766379784209,1,0.778215215182425,1,91.58212015722357,1,0
2025-09-18,176.24,1,0.2222222222222222,0,0.14814814814814814,0,0.18555079418365036,0,0.15399222045186092,0,91.18206018930232,0,0
2025-09-19,176.67,1,0.7058823529411765,1,0.8,1,0.7524766379784209,1,0.778215215182425,1,90.94162697742021,1,0
2025-09-22,183.61,1,0.8,1,1.0,1,0.8990128557041441,1,0.8522508101517968,1,90.7515377443665,1,0
2025-09-23,178.43,0,1.0,1,1.0,1,1.0,1,0.9632432909975317,1,90.68844249762479,1,0
2025-09-24,176.97,1,0.7058823529411765,1,1.0,1,0.8514894936825649,1,0.7388640254352863,1,89.77284042395692,1,0
2025-09-25,177.69,1,0.5094339622641508,1,0.14814814814814814,0,0.33057426135904094,0,0.6153888469587673,1,90.06598529818567,1,0
2025-09-26,178.19,1,0.5384615384615384,1,0.3333333333333333,0,0.4369098915854933,0,0.6202064645079436,1,90.35913017241445,1,0
2025-09-29,181.85,1,0.5384615384615384,1,0.14814814814814814,0,0.3452313214890636,0,0.6659013413279551,1,90.43030505338785,1,0
2025-09-30,186.58,1,0.7058823529411765,1,0.8,1,0.7524766379784209,1,0.778215215182425,1,90.65660610242216,1,0
2025-10-01,187.24,1,1.0,1,1.0,1,1.0,1,0.9632432909975317,1,90.14155392770613,1,0
2025-10-02,188.89,1,1.0,1,1.0,1,1.0,1,0.9632432909975317,1,89.61428888790465,1,0
2025-10-03,187.62,1,1.0,1,1.0,1,1.0,1,0.9632432909975317,1,89.2088059615164,1,0
2025-10-06,185.54,1,1.0,1,1.0,1,1.0,1,0.9632432909975317,1,88.93283898949018,1,0
2025-10-07,185.04,1,0.8,1,0.8,1,0.8000000000000002,1,0.8773517688348156,1,88.68158171974218,1,0
2025-10-08,189.11,1,0.8461538461538461,1,1.0,1,0.92231758131088,1,0.8910645864058158,1,88.4983266975688,1,0
2025-10-09,192.57,1,0.9210526315789473,1,1.0,1,0.9601366535674254,1,0.9351423230155115,1,88.03272378268586,1,0
2025-10-10,183.16,1,1.0,1,1.0,1,1.0,1,0.9632432909975317,1,87.70256392049389,1,0
2025-10-13,188.32,0,0.5384615384615384,1,0.31903534261936956,0,0.4298314671283888,0,0.6238239471841268,1,87.00201558030447,1,0
2025-10-14,180.03,0,0.8076095491397078,1,1.0,1,0.9028551888891345,1,0.8593563797882159,1,85.77897346515807,1,0
2025-10-15,179.83,0,0.2857142857142857,0,0.14814814814814814,0,0.21761020507122367,0,0.22738925901501894,0,84.26743941883744,0,0
2025-10-16,181.81,0,0.3,0,0.0,0,0.15148071644378389,0,0.2777656651515839,0,82.7559053725168,0,0
2025-10-17,183.22,0,0.3,0,0.14814814814814814,0,0.22482357252092763,0,0.24694060661461076,0,81.32191034747426,0,0
